idx,doclength, imagelength
1506,127,1182
1507,127,1184
1508,128,1186
1509,128,1187
1510,129,1187
1511,129,1187
1512,129,1193
1513,129,1193
1514,129,1193
1515,130,1194
1516,131,1196
1517,132,1196
1518,132,1196
1519,132,1197
1520,132,1203
1521,132,1210
1522,133,1211
1523,133,1212
1524,133,1212
1525,133,1218
1526,133,1220
1527,133,1222
1528,133,1223
1529,133,1224
1530,133,1224
1531,133,1226
1532,133,1226
1533,134,1230
1534,134,1231
1535,134,1232
1536,134,1233
1537,134,1236
1538,135,1239
1539,135,1240
1540,135,1253
1541,136,1255
1542,136,1261
1543,136,1262
1544,136,1263
1545,138,1265
1546,139,1267
1547,139,1268
1548,140,1268
1549,140,1274
1550,140,1275
1551,140,1275
1552,140,1276
1553,140,1279
1554,140,1279
1555,140,1279
1556,142,1279
1557,142,1281
1558,142,1281
1559,142,1281
1560,142,1281
1561,142,1281
1562,142,1281
1563,142,1281
1564,142,1281
1565,143,1282
1566,143,1283
1567,144,1284
1568,145,1284
1569,145,1284
1570,146,1284
1571,146,1284
1572,146,1284
1573,146,1285
1574,146,1286
1575,147,1288
1576,152,1289
1577,152,1291
1578,152,1296
1579,152,1296
1580,153,1296
1581,155,1296
1582,157,1296
1583,157,1299
1584,157,1301
1585,158,1301
1586,158,1303
1587,158,1305
1588,163,1306
1589,166,1306
1590,170,1307
1591,171,1309
1592,173,1309
1593,174,1309
1594,174,1309
1595,175,1310
1596,175,1312
1597,175,1314
1598,175,1316
1599,175,1316
1600,179,1317
1601,179,1320
1602,180,1321
1603,187,1324
1604,188,1325
1605,190,1329
1606,190,1329
1607,194,1329
1608,196,1329
1609,196,1332
1610,196,1332
1611,200,1333
1612,200,1333
1613,200,1335
1614,203,1340
1615,203,1340
1616,203,1343
1617,204,1343
1618,206,1345
1619,209,1345
1620,210,1346
1621,210,1347
1622,217,1347
1623,223,1351
1624,230,1352
1625,230,1352
1626,230,1352
1627,230,1352
1628,230,1352
1629,230,1352
1630,230,1358
1631,230,1358
1632,230,1360
1633,230,1363
1634,230,1364
1635,230,1365
1636,230,1367
1637,230,1373
1638,230,1375
1639,230,1376
1640,230,1379
1641,230,1381
1642,230,1383
1643,230,1390
1644,230,1393
1645,230,1393
1646,230,1393
1647,230,1393
1648,230,1397
1649,231,1398
1650,232,1402
1651,241,1402
1652,241,1402
1653,241,1402
1654,241,1405
1655,241,1407
1656,241,1408
1657,241,1408
1658,241,1416
1659,241,1416
1660,241,1419
1661,245,1419
1662,246,1422
1663,248,1423
1664,248,1425
1665,248,1425
1666,248,1425
1667,248,1426
1668,248,1427
1669,249,1427
1670,249,1428
1671,249,1428
1672,249,1435
1673,249,1435
1674,250,1439
1675,250,1439
1676,252,1442
1677,252,1444
1678,252,1445
1679,252,1445
1680,252,1447
1681,252,1448
1682,254,1448
1683,254,1451
1684,254,1451
1685,254,1451
1686,254,1451
1687,254,1451
1688,254,1451
1689,254,1451
1690,254,1452
1691,254,1453
1692,255,1453
1693,255,1453
1694,255,1453
1695,256,1455
1696,257,1456
1697,258,1463
1698,258,1463
1699,258,1466
1700,259,1468
1701,265,1469
1702,266,1471
1703,268,1472
1704,268,1473
1705,269,1474
1706,269,1477
1707,269,1477
1708,269,1481
1709,269,1485
1710,269,1486
1711,269,1486
1712,270,1486
1713,271,1486
1714,271,1486
1715,271,1486
1716,273,1487
1717,273,1487
1718,276,1487
1719,276,1488
1720,276,1488
1721,276,1488
1722,276,1488
1723,276,1488
1724,276,1492
1725,277,1492
1726,277,1494
1727,278,1494
1728,278,1500
1729,278,1501
1730,278,1501
1731,278,1502
1732,278,1507
1733,278,1507
1734,278,1507
1735,278,1507
1736,278,1509
1737,278,1511
1738,278,1511
1739,278,1519
1740,278,1522
1741,278,1522
1742,278,1524
1743,282,1524
1744,284,1524
1745,285,1524
1746,285,1524
1747,285,1524
1748,285,1524
1749,285,1527
1750,285,1527
1751,286,1528
1752,287,1529
1753,287,1530
1754,287,1530
1755,288,1531
1756,288,1533
1757,289,1535
1758,290,1537
1759,293,1538
1760,293,1538
1761,295,1543
1762,295,1543
1763,295,1545
1764,295,1545
1765,295,1546
1766,297,1546
1767,297,1546
1768,297,1546
1769,297,1546
1770,297,1546
1771,297,1546
1772,298,1546
1773,300,1546
1774,300,1546
1775,301,1546
1776,301,1546
1777,301,1546
1778,301,1547
1779,301,1547
1780,301,1547
1781,301,1547
1782,301,1547
1783,302,1549
1784,302,1549
1785,302,1549
1786,302,1551
1787,304,1555
1788,305,1558
1789,306,1558
1790,306,1563
1791,308,1563
1792,308,1563
1793,308,1564
1794,308,1565
1795,308,1565
1796,308,1565
1797,308,1565
1798,308,1565
1799,308,1567
1800,310,1567
1801,311,1567
1802,311,1568
1803,311,1568
1804,311,1568
1805,311,1569
1806,311,1569
1807,311,1570
1808,311,1570
1809,312,1571
1810,312,1571
1811,312,1571
1812,312,1575
1813,312,1575
1814,312,1575
1815,312,1575
1816,312,1575
1817,312,1575
1818,312,1577
1819,312,1578
1820,312,1578
1821,313,1578
1822,313,1578
1823,313,1578
1824,313,1580
1825,313,1581
1826,315,1584
1827,316,1584
1828,316,1584
1829,316,1584
1830,316,1584
1831,317,1584
1832,317,1584
1833,317,1584
1834,317,1584
1835,318,1584
1836,318,1584
1837,318,1585
1838,319,1585
1839,319,1585
